lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1
mirabel	59	no										
familia	53	sí	769.119	29	572.003	62	596.851	75	429.976	38	1018.3	41
bruno	46	no										
don	43	sí	70.951	5	15.3423	5	217.533	19	90.3575	13	118.465	9
milagro	38	sí	7.1507	1	8.8246	3	5.3308	2	2.2844	1	58.8744	4
ver	33	sí	2718.78	97	3033.52	274	2651.67	363	2090.54	183	1955.32	122
querer	33	sí	3575.84	120	2481.02	235	2561.19	313	2122.91	178	1574.6	101
luisa	29	no										
visión	29	sí	0	0	12.8753	3	10.484	4	20.8466	6	38.8023	3
madrigal	28	no										
pasar	28	sí	1275.65	51	1933.01	205	1807.5	253	1497.22	145	1316.45	87
magia	24	sí	0	0	3.5207	2	4.6738	2	17.7241	3	0	0
poder	21	sí	3919.92	127	3877.13	360	3642.23	499	4991.24	385	4412.67	252
noche	20	sí	1121.1	44	862.599	102	1037	117	332.249	35	597.149	30
casa	19	sí	3234.44	88	2503.93	179	2099.56	212	1610.48	96	968.866	55
salir	18	sí	1103.14	46	1124.52	121	1091.26	169	872.303	81	492.611	36
tener	18	sí	8525.73	257	8527.99	662	7506.19	797	7048.8	504	5729.72	338
abuela	18	sí	0	0	16.6587	4	36.5379	7	11.3435	2	0	0
perfecto	17	sí	183.429	13	173.033	24	84.767	17	90.2365	10	38.1253	3
deber	16	sí	73.1537	5	503.401	50	671	106	1469.14	124	1275.67	80
hogar	15	sí	4.954	1	18.865	5	56.0581	7	102.517	12	195.104	12
mágico	15	sí	5.3543	1	29.2999	6	41.1962	9	6.8912	2	78.9848	5
decir	15	sí	2252.83	90	4351.31	326	4123.96	488	3306.83	263	3111.39	189
hermana	14	no										
sentir	14	sí	241.671	10	312.364	41	378.417	60	698.355	65	671.393	47
vida	13	sí	1093.33	35	829.782	84	1157.2	136	1289.06	84	1060.33	58
estar	13	sí	382.156	23	1270.84	131	1182.77	182	1091.78	107	1106.15	67
dejar	13	sí	285.434	17	854.915	97	1072.19	157	980.929	100	814.386	58
hablar	13	sí	2339.02	83	1842.15	185	1955.35	270	995.777	92	1232.99	84
peso	13	sí	165.502	7	30.0512	7	53.4042	12	122.805	9	114.376	9
venir	12	sí	909.81	42	629.402	77	946.215	140	612.438	60	585.321	39
vela	12	sí	3.0086	1	72.8803	8	53.764	9	1.826	1	26.3283	2
isabela	12	no										
hacer	12	sí	4736.45	146	4564.7	422	5020.98	603	6021.18	457	3721.59	226
encanto	11	sí	67.0487	5	4.2366	3	5.3024	2	82.4194	8	9.4714	1
mundo	11	sí	1445.77	49	1129.9	98	1275.28	136	1211.53	94	1458.92	74
amor	11	sí	400.175	16	379.695	35	523.528	61	159.705	15	189.656	13
cambiar	11	sí	222.153	10	340.684	43	437.976	77	564.734	54	263.283	18
antonio	10	no										
abrazo	10	sí	94.3661	6	30.1139	7	35.3963	8	20.7726	4	0	0
okey	10	no										
importar	10	sí	67.9692	4	137.172	21	151.713	23	147.685	17	122.226	8
perder	9	sí	96.3005	7	431.891	51	466.839	71	547.937	55	381.979	28
jamás	9	sí	0	0	8.8246	3	30.7791	8	56.5075	8	50.2059	4
crecer	9	sí	0	0	27.3187	5	85.9513	19	109.573	12	127.585	11
especial	9	sí	381.944	16	301.577	36	279.565	47	138.5	15	247.752	17
dolores	9	no										
saber	9	sí	1605.7	66	2851.6	283	2691.41	348	1840.03	170	1721.39	102
oír	9	sí	231.876	12	437.774	52	415.589	60	206.47	24	273.065	20
perdón	9	sí	4.954	1	40.1036	10	62.8245	11	11.4221	5	0	0
llegar	9	sí	1156.43	52	1197.18	135	1465.83	228	1154.57	113	1382.06	92
salvar	9	sí	0	0	19.4899	4	25.2875	7	22.9038	4	52.6565	4
toc	9	no										
momento	8	sí	253.258	14	673.008	64	729.068	95	653.951	60	682.303	44
casita	8	sí	7.1507	1	24.9718	5	26.1366	5	0	0	9.4714	1
junto	8	sí	147.582	8	212.188	27	177.474	33	253.42	25	157.61	10
esperar	8	sí	444.939	22	617.139	73	692.525	107	400.652	39	479.75	34
pepa	8	sí	0	0	0	0	0	0	0	0	9.4714	1
tío	8	sí	44.4532	3	94.9285	14	64.2207	12	55.2348	4	38.8023	3
revelar	8	sí	0	0	1.9216	1	1.2931	1	56.6914	6	105.313	8
piso	8	sí	325.61	14	370.281	34	288.664	38	256.712	22	125.281	8
fuerte	8	sí	144.874	8	150.419	20	183.913	27	263	27	131.08	10
ir	8	sí	6509.56	210	6208.38	524	4821.13	561	3326.5	285	2211.14	147
volver	8	sí	575.188	26	952.565	107	883.707	141	694.72	72	468.727	33
haber	8	sí	3663.61	100	11425.2	481	6210.03	622	7740.83	502	7476.86	324
recibir	7	sí	129.075	7	305.459	37	348.847	58	439.97	41	405.574	29
contar	7	sí	301.822	16	582.601	66	743.642	109	669.842	61	644.289	47
ayúdame	7	no										
tiempo	7	sí	1076.59	43	828.993	82	1031.86	130	1666.14	105	1105.97	62
persona	7	sí	1259.1	43	1092.64	106	1324.79	157	1499.66	112	1850.8	92
okay	7	sí	0	0	11.7661	2	0	0	0	0	0	0
mariano	7	sí	0	0	0	0	0.7751	1	0	0	0	0
necesitar	7	sí	754.549	28	784.386	92	657.127	99	386.233	40	262.026	18
